topic_type,topic_slug,matched_seed,keyword,search_volume,cpc_usd,competition_level,keyword_difficulty,search_intent
page,home,dental marketing,marketing for dental,1900,45.11,MEDIUM,73,commercial
page,home,dental marketing,marketing dental,1900,45.11,MEDIUM,46,commercial
page,home,dental marketing,dental marketing,1900,45.11,MEDIUM,25,commercial
page,home,dental marketing,dental seo marketing,1300,38.61,LOW,16,commercial
page,home,dental marketing,dental marketing companies,880,49.06,MEDIUM,65,commercial
page,home,dental marketing,dental marketing firm,880,49.06,MEDIUM,72,commercial
page,home,dental marketing,progressive dental marketing,880,21.37,LOW,23,informational
page,home,dental marketing,dental marketing company,880,49.06,MEDIUM,72,commercial
page,home,dental marketing,dental marketing firms,880,49.06,MEDIUM,72,commercial
page,home,dental marketing,dental marketing agency,590,51.56,MEDIUM,79,commercial
page,home,dental marketing,dental digital marketing,390,32.82,LOW,10,commercial
page,home,dental marketing,dental marketing service,390,53.6,LOW,66,commercial
page,home,dental marketing,firegang dental marketing,390,21.11,LOW,1,navigational
page,home,dental marketing,digital marketing for dental,390,32.82,LOW,22,commercial
page,home,dental marketing,marketing dental services,390,53.6,LOW,52,commercial
page,home,dental marketing,digital marketing dental,390,32.82,LOW,79,commercial
page,home,dental marketing,dental marketing services,390,53.6,LOW,72,commercial
page,home,dental marketing,strategies for dental marketing,320,87.42,LOW,0,informational
page,home,dental marketing,marketing a dental practice,320,51.12,LOW,0,commercial
page,home,dental marketing,dental practice marketing,320,51.12,LOW,5,commercial
page,home,dental marketing agency,dental seo marketing agency,210,,LOW,27,commercial
page,home,dental marketing agency,dental digital marketing agency,170,46.18,LOW,57,commercial
page,home,dental marketing agency,dental social media marketing agency,90,109.38,MEDIUM,57,commercial
page,home,dental marketing agency,best dental marketing agency,70,104.89,LOW,37,commercial
page,home,dental marketing agency,dental ppc marketing agency,70,,LOW,16,commercial
page,home,dental marketing agency,digital marketing agency dental,30,,LOW,39,commercial
page,home,dental marketing agency,dental practice marketing agency,20,70.63,LOW,,commercial
page,home,dental marketing agency,dental marketing agency near me,20,23.37,LOW,,commercial
page,home,dental marketing agency,top dental marketing agency,20,,LOW,23,commercial
page,home,dental marketing agency,dental marketing agency usa,10,65.92,HIGH,,commercial
page,home,dental marketing agency,dental clinic marketing agency,10,,HIGH,,commercial
page,home,dental marketing agency,dental marketing agency us,10,,,,commercial
page,home,dental marketing agency,dental marketing agency in usa,10,,,,commercial
page,home,dental marketing agency,ideandum international dental marketing agency,10,,LOW,,navigational
page,home,dental marketing agency,dental marketing agency australia,10,,,,commercial
page,home,dental marketing agency,dental marketing agency los angeles,10,,MEDIUM,,commercial
page,home,dental marketing agency,dental marketing agency chicago,10,,HIGH,,commercial
page,home,dental marketing agency,dental implant marketing agency,10,20.77,MEDIUM,,commercial
page,home,dental marketing agency,shoutout digital dental marketing agency,10,,,,commercial
page,home,marketing for dentists,marketing for dentists,1900,45.11,MEDIUM,3,commercial
page,home,marketing for dentists,digital marketing for dentists,390,32.82,LOW,0,commercial
page,home,marketing for dentists,online marketing for dentists,320,,LOW,9,commercial
page,home,marketing for dentists,internet marketing for dentists,320,,LOW,8,commercial
page,home,marketing for dentists,social media marketing for dentists,260,96.18,LOW,3,commercial
page,home,marketing for dentists,marketing ideas for dentists,210,14.67,LOW,0,commercial
page,home,marketing for dentists,best marketing for dentists,170,82.91,MEDIUM,8,commercial
page,home,marketing for dentists,email marketing for dentists,170,,LOW,0,commercial
page,home,marketing for dentists,email-marketing-for-dentists,170,,LOW,0,commercial
page,home,marketing for dentists,marketing agency for dentists,170,57.82,LOW,72,commercial
page,home,marketing for dentists,marketing agencies for dentists,170,57.82,LOW,57,commercial
page,home,marketing for dentists,seo marketing for dentists,140,,LOW,13,commercial
page,home,marketing for dentists,ppc marketing for dentists,140,35.17,LOW,0,commercial
page,home,marketing for dentists,website marketing for dentists,70,36.22,LOW,38,commercial
page,home,marketing for dentists,web marketing for dentists,70,36.22,LOW,1,commercial
page,home,marketing for dentists,digital marketing agency for dentists,70,,LOW,39,commercial
