agency,positioning,services_emphasized,notable_differentiator,observed_gap
Firegang Dental Marketing,Established dental-only agency,"SEO, PPC, websites","Long track record, dental-only focus",Service-menu led copy; process not explained simply for a non-marketer
Progressive Dental Marketing,Full-service dental marketing,"SEO, PPC, branding, websites",Large in-house team,Generic agency tone, little visual explanation of how it works
Lasso MD,ROI-guarantee platform play,"Marketing + PatientLoop growth software","3X ROI guarantee, owns a software platform",Platform-heavy pitch can feel complex/expensive-sounding to a small practice
Harris & Ward,Unified modern stack,"Web design, photography, Google Ads, local SEO, AI search visibility","No long-term contract, mentions AI search visibility",AI mentioned as a service line, not as a clear simple benefit story
GrowDent,Paid-acquisition specialist,"Google Ads, Meta Ads, landing pages",Focused specifically on paid patient acquisition,Narrower scope (light on organic/local SEO story)
Wonderist,Design-forward,"Web design, SEO, PPC, content",Blends design quality with data,Less emphasis on plain-English process for dentist owners
WebFX / Cardinal / Thrive (generalist multi-industry agencies),Big generalist agencies with a dental vertical page,"Full digital marketing stack",Scale and brand recognition,Not dental-specific in tone; feels templated/impersonal to a clinic owner

,,,,
KEY TAKEAWAYS FOR SMILE AI MARKETING,,,,
1. Nearly every competitor leads with a SERVICE LIST (SEO / PPC / Web / Reviews) rather than a simple explained PROCESS. Opportunity: lead the homepage with a plain-English 4-step process (visibility -> enquiries -> conversion -> growth) instead of a service menu.,,,,
"2. ""AI"" is used by only one competitor (Harris & Ward) and only as a service line, not a benefit story. Opportunity: position AI as the engine behind faster/smarter execution (e.g. faster response to enquiries, always-on local visibility monitoring) rather than a buzzword.",,,,
3. Several competitors emphasize contracts/guarantees/ROI numbers as trust signals. Since Smile AI Marketing has no case studies yet those claims should NOT be copied (would be fabricated) - trust should instead come from a clear process and specific dental-industry understanding.,,,,
4. Search demand confirms dentists search generic terms (\"dental marketing\" \"marketing for dentists\" ~1900/mo each) more than AI-specific terms (\"AI for dental practices\" ~10/mo) - so SEO titles should lead with proven dental-marketing terms; AI stays a brand differentiator in on-page copy, not the primary keyword target.,,,,
